Year,State,Exit Code,Reporting Period,Ages Birth through 2,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or More Races,R/E Total,Male,Female,Gender Total,filename
2019-2020,Connecticut,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,319,127,1,5,43,0,135,8,319,191,128,319,data\data_file_10.csv.csv
2019-2020,Connecticut,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,316,107,0,8,23,2,173,3,316,185,131,316,data\data_file_10.csv.csv
2019-2020,Connecticut,Part B eligibility not determined,07/01/2019 - 06/30/2020,686,274,0,26,93,4,274,15,686,467,219,686,data\data_file_10.csv.csv
2019-2020,Connecticut,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Connecticut,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,2451,856,3,92,270,14,1149,67,2451,1720,731,2451,data\data_file_10.csv.csv
2019-2020,Connecticut,Total number exiting,07/01/2019 - 06/30/2020,5673,2022,6,205,655,27,2612,146,5673,3725,1948,5673,data\data_file_10.csv.csv
2019-2020,Connecticut,Withdrawal by parent,07/01/2019 - 06/30/2020,907,281,1,42,92,2,460,29,907,554,353,907,data\data_file_10.csv.csv
2019-2020,Delaware,Attempts to contact unsuccessful,12/02/2018 - 12/01/2019,91,16,1,3,31,0,36,4,91,58,33,91,data\data_file_10.csv.csv
2019-2020,Delaware,Completion of IFSP prior to max age,12/02/2018 - 12/01/2019,111,19,0,2,21,0,67,2,111,65,46,111,data\data_file_10.csv.csv
2019-2020,Delaware,Deceased,12/02/2018 - 12/01/2019,2,1,0,0,1,0,0,0,2,1,1,2,data\data_file_10.csv.csv
2019-2020,Delaware,Moved out of state,12/02/2018 - 12/01/2019,44,5,0,6,15,0,17,1,44,33,11,44,data\data_file_10.csv.csv
2019-2020,Delaware,Not eligible Part B - exit to other program,12/02/2018 - 12/01/2019,16,5,0,0,6,0,5,0,16,12,4,16,data\data_file_10.csv.csv
2019-2020,Delaware,Not eligible Part B - exit with no referrals,12/02/2018 - 12/01/2019,53,4,1,1,7,1,37,2,53,33,20,53,data\data_file_10.csv.csv
2019-2020,Delaware,Part B eligibility not determined,12/02/2018 - 12/01/2019,85,16,0,1,31,1,32,4,85,61,24,85,data\data_file_10.csv.csv
2019-2020,Delaware,"Part B eligible, Continuing in Part C",12/02/2018 - 12/01/2019,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Delaware,"Part B eligible, exiting Part C",12/02/2018 - 12/01/2019,583,118,5,21,161,2,255,21,583,431,152,583,data\data_file_10.csv.csv
2019-2020,Delaware,Total number exiting,12/02/2018 - 12/01/2019,1090,209,7,41,291,5,503,34,1090,754,336,1090,data\data_file_10.csv.csv
2019-2020,Delaware,Withdrawal by parent,12/02/2018 - 12/01/2019,105,25,0,7,18,1,54,0,105,60,45,105,data\data_file_10.csv.csv
2019-2020,District of Columbia,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,139,12,0,x,114,x,8,4,139,87,52,139,data\data_file_10.csv.csv
2019-2020,District of Columbia,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,211,20,0,x,62,x,96,26,211,112,99,211,data\data_file_10.csv.csv
2019-2020,District of Columbia,Deceased,07/01/2019 - 06/30/2020,0,0,0,x,0,x,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,District of Columbia,Moved out of state,07/01/2019 - 06/30/2020,95,30,0,x,19,x,33,8,95,62,33,95,data\data_file_10.csv.csv
2019-2020,District of Columbia,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,25,7,0,x,11,x,3,3,25,20,5,25,data\data_file_10.csv.csv
2019-2020,District of Columbia,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,58,6,0,x,38,x,11,1,58,31,27,58,data\data_file_10.csv.csv
2019-2020,District of Columbia,Part B eligibility not determined,07/01/2019 - 06/30/2020,50,5,0,x,40,x,3,2,50,34,16,50,data\data_file_10.csv.csv
2019-2020,District of Columbia,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,196,44,0,x,126,x,17,8,196,140,56,196,data\data_file_10.csv.csv
2019-2020,District of Columbia,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,170,45,0,x,101,x,12,12,170,121,49,170,data\data_file_10.csv.csv
2019-2020,District of Columbia,Total number exiting,07/01/2019 - 06/30/2020,1081,190,0,x,570,x,230,71,1081,693,388,1081,data\data_file_10.csv.csv
2019-2020,District of Columbia,Withdrawal by parent,07/01/2019 - 06/30/2020,137,21,0,x,59,x,47,7,137,86,51,137,data\data_file_10.csv.csv
2019-2020,Florida,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,1632,514,1,26,544,2,496,49,1632,1010,622,1632,data\data_file_10.csv.csv
2019-2020,Florida,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,1111,302,1,16,181,3,555,53,1111,604,507,1111,data\data_file_10.csv.csv
2019-2020,Florida,Deceased,07/01/2019 - 06/30/2020,33,12,0,0,9,0,12,0,33,21,12,33,data\data_file_10.csv.csv
2019-2020,Florida,Moved out of state,07/01/2019 - 06/30/2020,563,201,2,26,101,0,207,26,563,372,191,563,data\data_file_10.csv.csv
2019-2020,Florida,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,391,199,2,1,54,0,126,9,391,253,138,391,data\data_file_10.csv.csv
2019-2020,Florida,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,437,191,0,9,57,0,162,18,437,278,159,437,data\data_file_10.csv.csv
2019-2020,Florida,Part B eligibility not determined,07/01/2019 - 06/30/2020,5607,2650,13,115,1160,4,1492,173,5607,3929,1678,5607,data\data_file_10.csv.csv
2019-2020,Florida,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Florida,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,6214,2478,15,137,1082,5,2266,231,6214,4329,1885,6214,data\data_file_10.csv.csv
2019-2020,Florida,Total number exiting,07/01/2019 - 06/30/2020,17448,7061,35,366,3484,15,5880,607,17448,11684,5764,17448,data\data_file_10.csv.csv
2019-2020,Florida,Withdrawal by parent,07/01/2019 - 06/30/2020,1460,514,1,36,296,1,564,48,1460,888,572,1460,data\data_file_10.csv.csv
2019-2020,Georgia,Attempts to contact unsuccessful,07/01/2018 - 06/30/2019,581,85,0,14,278,1,185,18,581,387,194,581,data\data_file_10.csv.csv
2019-2020,Georgia,Completion of IFSP prior to max age,07/01/2018 - 06/30/2019,212,22,0,6,83,0,99,2,212,129,83,212,data\data_file_10.csv.csv
2019-2020,Georgia,Deceased,07/01/2018 - 06/30/2019,2,0,0,0,1,0,0,1,2,1,1,2,data\data_file_10.csv.csv
2019-2020,Georgia,Moved out of state,07/01/2018 - 06/30/2019,75,9,0,7,16,0,39,4,75,37,38,75,data\data_file_10.csv.csv
2019-2020,Georgia,Not eligible Part B - exit to other program,07/01/2018 - 06/30/2019,419,67,1,8,135,0,199,9,419,247,172,419,data\data_file_10.csv.csv
2019-2020,Georgia,Not eligible Part B - exit with no referrals,07/01/2018 - 06/30/2019,177,29,0,4,30,0,106,8,177,106,71,177,data\data_file_10.csv.csv
2019-2020,Georgia,Part B eligibility not determined,07/01/2018 - 06/30/2019,1741,209,3,60,718,2,704,45,1741,1102,639,1741,data\data_file_10.csv.csv
2019-2020,Georgia,"Part B eligible, Continuing in Part C",07/01/2018 - 06/30/2019,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Georgia,"Part B eligible, exiting Part C",07/01/2018 - 06/30/2019,3130,521,1,108,931,3,1491,75,3130,2177,953,3130,data\data_file_10.csv.csv
2019-2020,Georgia,Total number exiting,07/01/2018 - 06/30/2019,6501,972,5,215,2230,6,2906,167,6501,4289,2212,6501,data\data_file_10.csv.csv
2019-2020,Georgia,Withdrawal by parent,07/01/2018 - 06/30/2019,164,30,0,8,38,0,83,5,164,103,61,164,data\data_file_10.csv.csv
2019-2020,Guam,Attempts to contact unsuccessful,12/02/2018 - 12/01/2019,6,0,0,1,0,5,0,0,6,4,2,6,data\data_file_10.csv.csv
2019-2020,Guam,Completion of IFSP prior to max age,12/02/2018 - 12/01/2019,18,0,0,2,0,8,0,8,18,11,7,18,data\data_file_10.csv.csv
2019-2020,Guam,Deceased,12/02/2018 - 12/01/2019,1,0,0,0,0,1,0,0,1,0,1,1,data\data_file_10.csv.csv
2019-2020,Guam,Moved out of state,12/02/2018 - 12/01/2019,8,0,0,2,0,3,0,3,8,4,4,8,data\data_file_10.csv.csv
2019-2020,Guam,Not eligible Part B - exit to other program,12/02/2018 - 12/01/2019,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Guam,Not eligible Part B - exit with no referrals,12/02/2018 - 12/01/2019,28,0,0,3,0,18,0,7,28,18,10,28,data\data_file_10.csv.csv
2019-2020,Guam,Part B eligibility not determined,12/02/2018 - 12/01/2019,9,0,0,0,0,5,0,4,9,6,3,9,data\data_file_10.csv.csv
2019-2020,Guam,"Part B eligible, Continuing in Part C",12/02/2018 - 12/01/2019,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Guam,"Part B eligible, exiting Part C",12/02/2018 - 12/01/2019,38,0,0,4,0,22,0,12,38,28,10,38,data\data_file_10.csv.csv
2019-2020,Guam,Total number exiting,12/02/2018 - 12/01/2019,121,0,0,13,0,72,0,36,121,78,43,121,data\data_file_10.csv.csv
2019-2020,Guam,Withdrawal by parent,12/02/2018 - 12/01/2019,13,0,0,1,0,10,0,2,13,7,6,13,data\data_file_10.csv.csv
2019-2020,Hawaii,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,133,10,1,25,1,26,0,70,133,79,54,133,data\data_file_10.csv.csv
2019-2020,Hawaii,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,110,11,0,31,0,8,15,45,110,67,43,110,data\data_file_10.csv.csv
2019-2020,Hawaii,Deceased,07/01/2019 - 06/30/2020,3,1,0,0,0,1,0,1,3,2,1,3,data\data_file_10.csv.csv
2019-2020,Hawaii,Moved out of state,07/01/2019 - 06/30/2020,148,44,0,8,10,4,58,24,148,91,57,148,data\data_file_10.csv.csv
2019-2020,Hawaii,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,52,6,0,16,1,6,5,18,52,31,21,52,data\data_file_10.csv.csv
2019-2020,Hawaii,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,86,11,0,31,2,4,11,27,86,54,32,86,data\data_file_10.csv.csv
2019-2020,Hawaii,Part B eligibility not determined,07/01/2019 - 06/30/2020,402,48,0,124,12,26,50,142,402,283,119,402,data\data_file_10.csv.csv
2019-2020,Hawaii,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Hawaii,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,561,79,9,113,26,37,71,226,561,401,160,561,data\data_file_10.csv.csv
2019-2020,Hawaii,Total number exiting,07/01/2019 - 06/30/2020,1920,244,11,459,62,145,282,717,1920,1299,621,1920,data\data_file_10.csv.csv
2019-2020,Hawaii,Withdrawal by parent,07/01/2019 - 06/30/2020,425,34,1,111,10,33,72,164,425,291,134,425,data\data_file_10.csv.csv
2019-2020,Idaho,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,233,51,2,3,6,2,152,17,233,158,75,233,data\data_file_10.csv.csv
2019-2020,Idaho,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,158,19,0,0,0,1,134,4,158,84,74,158,data\data_file_10.csv.csv
2019-2020,Idaho,Deceased,07/01/2019 - 06/30/2020,3,0,0,0,0,0,3,0,3,1,2,3,data\data_file_10.csv.csv
2019-2020,Idaho,Moved out of state,07/01/2019 - 06/30/2020,125,12,1,3,0,0,99,10,125,78,47,125,data\data_file_10.csv.csv
2019-2020,Idaho,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,80,13,0,0,0,1,62,4,80,46,34,80,data\data_file_10.csv.csv
2019-2020,Idaho,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,123,11,1,3,1,0,102,5,123,59,64,123,data\data_file_10.csv.csv
2019-2020,Idaho,Part B eligibility not determined,07/01/2019 - 06/30/2020,336,53,2,4,5,1,263,8,336,231,105,336,data\data_file_10.csv.csv
2019-2020,Idaho,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Idaho,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,622,86,6,6,8,0,489,27,622,434,188,622,data\data_file_10.csv.csv
2019-2020,Idaho,Total number exiting,07/01/2019 - 06/30/2020,2164,304,17,25,29,6,1686,97,2164,1378,786,2164,data\data_file_10.csv.csv
2019-2020,Idaho,Withdrawal by parent,07/01/2019 - 06/30/2020,484,59,5,6,9,1,382,22,484,287,197,484,data\data_file_10.csv.csv
2019-2020,Illinois,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,1449,399,2,42,366,0,596,44,1449,877,572,1449,data\data_file_10.csv.csv
2019-2020,Illinois,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,3034,564,2,86,197,1,2125,59,3034,1707,1327,3034,data\data_file_10.csv.csv
2019-2020,Illinois,Deceased,07/01/2019 - 06/30/2020,39,9,0,0,13,0,15,2,39,20,19,39,data\data_file_10.csv.csv
2019-2020,Illinois,Moved out of state,07/01/2019 - 06/30/2020,488,92,2,28,86,0,266,14,488,304,184,488,data\data_file_10.csv.csv
2019-2020,Illinois,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,1538,404,1,35,148,1,907,42,1538,922,616,1538,data\data_file_10.csv.csv
2019-2020,Illinois,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,89,44,0,0,8,0,37,0,89,46,43,89,data\data_file_10.csv.csv
2019-2020,Illinois,Part B eligibility not determined,07/01/2019 - 06/30/2020,3305,1250,1,104,767,1,1131,51,3305,2175,1130,3305,data\data_file_10.csv.csv
2019-2020,Illinois,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Illinois,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,9919,2705,6,379,1146,3,5412,268,9919,6852,3067,9919,data\data_file_10.csv.csv
2019-2020,Illinois,Total number exiting,07/01/2019 - 06/30/2020,21760,5946,15,764,2945,8,11561,521,21760,14062,7698,21760,data\data_file_10.csv.csv
2019-2020,Illinois,Withdrawal by parent,07/01/2019 - 06/30/2020,1899,479,1,90,214,2,1072,41,1899,1159,740,1899,data\data_file_10.csv.csv
