School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
Oakwood University,0.0035,0.8044,0.0513,0.0035,0.0236,0.0,0.0,0.0742,0.0395,0.4209,0.5791,,,,,,4,2
Reid State Technical College,0.3211,0.6575,0.0061,0.0,0.0061,0.0,0.0092,0.0,0.0,0.2966,0.7034,,,,,,2,1
Bishop State Community College,0.2376,0.6748,0.026,0.0173,0.0074,0.0009,0.0186,0.0143,0.003,0.3703,0.6297,,,,,,2,1
Samford University,0.8502,0.0667,0.0326,0.0103,0.002,0.0003,0.0232,0.0117,0.0031,0.3336,0.6664,,,,,,4,2
Selma University,0.0161,0.9742,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.4323,0.5677,,,,,,4,2
Shelton State Community College,0.5354,0.3655,0.0366,0.0062,0.0035,0.0,0.025,0.0054,0.0223,0.4369,0.5631,,,,,,2,1
Snead State Community College,0.647,0.0802,0.1754,0.0069,0.0097,0.0011,0.0372,0.0011,0.0413,0.3943,0.6057,,,,,,2,1
University of South Alabama,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027,0.4029,0.5971,,,,,,4,1
Spring Hill College,0.6791,0.141,0.0363,0.013,0.0026,0.0026,0.0285,0.045,0.0519,0.3763,0.6237,,,,,,4,2
Stillman College,0.0422,0.8578,0.0,0.0012,0.0024,0.0024,0.0,0.0,0.094,0.4843,0.5157,,,,,,3,2
Talladega College,0.024,0.8837,0.0359,0.0,0.0017,0.0017,0.0214,0.0282,0.0034,0.4636,0.5364,,,,,,3,2
H Councill Trenholm State Community College,0.2487,0.7019,0.0299,0.0103,0.0046,0.0017,0.0017,0.0,0.0011,0.4199,0.5801,,,,,,2,1
Troy University,0.526,0.3086,0.0398,0.0076,0.0035,0.0011,0.0339,0.0471,0.0324,0.3725,0.6275,,,,,,4,1
Tuskegee University,0.0042,0.8885,0.0121,0.0079,0.0038,0.005,0.0167,0.0,0.0618,0.3622,0.6378,,,,,,4,2
United States Sports Academy,0.6161,0.1611,0.109,0.0095,0.0,0.0,0.0616,0.0142,0.0284,0.8104,0.1896,,,,,,4,2
Bevill State Community College,0.7981,0.154,0.0219,0.003,0.0011,0.0004,0.0145,0.0,0.0071,0.3866,0.6134,,,,,,2,1
University of Alaska Anchorage,0.5249,0.0326,0.0945,0.0808,0.0534,0.0334,0.1215,0.0208,0.038,0.4189,0.5811,,,,,,4,1
Alaska Bible College,0.8,0.0333,0.0333,0.0333,0.0333,0.0,0.0667,0.0,0.0,0.7,0.3,,,,,,3,2
University of Alaska Fairbanks,0.4993,0.0361,0.0864,0.0188,0.1308,0.0082,0.1059,0.0129,0.1016,0.4224,0.5776,,,,,,4,1
University of Alaska Southeast,0.5519,0.0078,0.0874,0.0234,0.1029,0.0329,0.1073,0.0043,0.0822,0.3227,0.6773,,,,,,4,1
Alaska Pacific University,0.3711,0.0314,0.0755,0.022,0.2484,0.0157,0.1226,0.0,0.1132,0.283,0.717,,,,,,4,2
Alaska Vocational Technical Center,0.3994,0.0095,0.0317,0.0158,0.1363,0.0016,0.0792,0.0,0.3265,0.8336,0.1664,,,,,,1,1
Charter College,0.3557,0.0578,0.2146,0.0024,0.0719,0.053,0.1536,0.0,0.0909,0.2583,0.7417,,,,,,3,3
Alaska Career College,0.3629,0.1053,0.0803,0.1967,0.1551,0.0249,0.0637,0.0,0.0111,0.144,0.856,,,,,,2,3
Empire Beauty School-Tucson,0.3208,0.0849,0.4811,0.0283,0.0472,0.0,0.0,0.0,0.0377,0.0472,0.9528,,,,,,1,3
Carrington College-Phoenix North,0.2816,0.0742,0.4939,0.0286,0.059,0.0049,0.0298,0.0061,0.0219,0.1478,0.8522,,,,,,2,3
Arizona Academy of Beauty-East,0.3,0.15,0.375,0.05,0.05,0.0,0.075,0.0,0.0,0.025,0.975,,,,,,1,3
Platt College-Arizona Automotive Institute Arizona,0.3633,0.1102,0.3469,0.0122,0.102,0.0163,0.0367,0.0,0.0122,0.9204,0.0796,,,,,,1,3
Brookline College-Phoenix,0.4301,0.1872,0.1434,0.048,0.0703,0.0049,0.032,0.0,0.0842,0.1663,0.8337,,,,,,4,3
Arizona State University Campus Immersion,0.4927,0.0383,0.2266,0.0853,0.0112,0.0017,0.0477,0.0884,0.0082,0.5525,0.4475,,,,,,4,1
Arizona Western College,0.1418,0.0131,0.7606,0.0086,0.0095,0.0023,0.0155,0.0125,0.036,0.4053,0.5947,,,,,,2,1
University of Arizona,0.4977,0.0386,0.2709,0.0532,0.0117,0.0023,0.0499,0.0624,0.0133,0.4644,0.5356,,,,,,4,1
Central Arizona College,0.382,0.0563,0.3701,0.017,0.0454,0.0038,0.0394,0.0142,0.0718,0.3869,0.6131,,,,,,2,1
Charles of Italy Beauty College,0.5,0.0517,0.2759,0.0345,0.0172,0.0,0.0172,0.0,0.1034,0.0172,0.9828,,,,,,1,3
Cochise County Community College District,0.4018,0.0493,0.4505,0.0162,0.0062,0.005,0.0496,0.0127,0.0086,0.452,0.548,,,,,,2,1
Empire Beauty School-Chandler,0.2712,0.2542,0.2203,0.0169,0.0678,0.0,0.0678,0.0,0.1017,0.0847,0.9153,,,,,,1,3
Avalon School of Cosmetology-Mesa,0.4401,0.0563,0.3803,0.0282,0.0387,0.0,0.0423,0.0,0.0141,0.0317,0.9683,,,,,,1,3
